Date,Open,High,Low,Close,Volume,Adj Close
2014-09-26,4.05,4.07,3.87,3.92,6387500,3.92
2014-09-25,4.23,4.38,3.94,3.97,11841900,3.97
2014-09-24,4.36,4.46,4.07,4.16,8596900,4.16
2014-09-23,4.19,4.42,4.14,4.38,3763300,4.38
2014-09-22,4.22,4.44,4.19,4.29,4452900,4.29
2014-09-19,4.27,4.32,4.21,4.30,10337800,4.30
2014-09-18,3.82,4.10,3.80,4.08,13497900,4.08
2014-09-17,3.80,3.86,3.77,3.82,13011400,3.82
2014-09-16,4.23,4.25,3.85,3.87,10989000,3.87
2014-09-15,4.10,4.17,4.04,4.08,6198800,4.08
2014-09-12,4.53,4.57,4.33,4.37,4642100,4.37
2014-09-11,4.26,4.50,4.15,4.39,10450900,4.39
2014-09-10,4.04,4.11,4.00,4.07,3353700,4.07
2014-09-09,3.97,4.04,3.92,4.02,9480600,4.02
2014-09-08,4.47,4.53,4.29,4.33,5128500,4.33
2014-09-05,4.53,4.68,4.48,4.58,4035800,4.58
2014-09-04,4.42,4.64,4.33,4.49,8806400,4.49
2014-09-03,4.37,4.50,4.35,4.42,7745700,4.42
2014-09-02,4.11,4.31,4.04,4.25,13931000,4.25
2014-08-29,3.95,3.96,3.77,3.78,6253100,3.78
2014-08-28,3.89,4.08,3.77,3.86,10886200,3.86
2014-08-27,3.99,4.22,3.91,3.98,8500600,3.98
2014-08-26,4.05,4.20,4.02,4.10,5352500,4.10
2014-08-25,4.13,4.19,4.07,4.09,9510300,4.09
2014-08-22,4.27,4.45,4.26,4.38,3554400,4.38
2014-08-21,4.33,4.59,4.21,4.29,8413700,4.29
2014-08-20,4.40,4.59,4.39,4.47,5192500,4.47
2014-08-19,4.35,4.42,4.22,4.34,6217200,4.34
2014-08-18,4.64,4.69,4.51,4.64,5998600,4.64
2014-08-15,4.62,4.75,4.60,4.64,10693200,4.64
2014-08-14,4.49,4.50,4.06,4.32,6348000,4.32
2014-08-13,4.34,4.58,4.31,4.54,10300200,4.54
2014-08-12,4.13,4.17,4.00,4.09,3462100,4.09
2014-08-11,4.04,4.28,4.04,4.10,5192000,4.10
2014-08-08,4.31,4.36,4.13,4.13,5128900,4.13
2014-08-07,4.16,4.51,4.11,4.42,9825900,4.42
2014-08-06,4.38,4.46,4.22,4.24,6314700,4.24
2014-08-05,4.39,4.45,4.34,4.40,4764700,4.40
2014-08-04,4.72,4.73,4.55,4.58,4627300,4.58
2014-08-01,4.74,4.77,4.48,4.74,6652200,4.74
2014-07-31,4.83,4.91,4.42,4.63,7556500,4.63
2014-07-30,4.84,4.95,4.77,4.85,4006700,4.85
2014-07-29,4.86,5.00,4.67,4.69,6120100,4.69
2014-07-28,4.58,4.99,4.56,4.90,7091600,4.90
2014-07-25,4.76,4.89,4.74,4.82,7092400,4.82
2014-07-24,4.82,4.83,4.43,4.62,14026000,4.62
2014-07-23,4.77,4.90,4.70,4.88,6626300,4.88
2014-07-22,4.66,4.86,4.64,4.84,7026500,4.84
2014-07-21,4.47,4.63,4.46,4.54,7085900,4.54
2014-07-18,4.26,4.32,4.24,4.28,3306600,4.28
2014-07-17,3.99,4.32,3.98,4.22,26178200,4.22
2014-07-16,3.79,3.85,3.75,3.83,3491900,3.83
2014-07-15,3.77,3.93,3.74,3.91,4381600,3.91
2014-07-14,3.75,3.91,3.72,3.74,4780100,3.74
2014-07-11,3.84,3.87,3.75,3.77,3450700,3.77
2014-07-10,3.70,3.85,3.64,3.84,10466600,3.84
2014-07-09,3.61,3.72,3.55,3.71,4274600,3.71
2014-07-08,3.61,3.80,3.52,3.56,16453800,3.56
2014-07-07,3.43,3.61,3.42,3.52,18904300,3.52
2014-07-03,3.33,3.35,3.17,3.24,5275200,3.24
2014-07-02,3.18,3.32,3.18,3.27,10823300,3.27
2014-07-01,3.12,3.14,3.02,3.11,3617800,3.11
2014-06-30,3.15,3.25,3.00,3.07,9204900,3.07
2014-06-27,3.19,3.25,3.12,3.14,13302400,3.14
2014-06-26,2.85,3.18,2.85,3.09,20843900,3.09
2014-06-25,2.82,2.95,2.81,2.87,3503100,2.87
2014-06-24,3.00,3.03,2.85,2.92,8295200,2.92
2014-06-23,3.03,3.08,2.98,3.06,13061600,3.06
2014-06-20,2.89,2.94,2.85,2.85,9695500,2.85
